date;open;high;low;close;volume;;;
09/25/13;15,137;15,151;14,897;14,9;316956668;;;
09/26/13;15,038;15,118;14,973;15,045;237220732;;;
09/27/13;14,97;14,997;14,875;14,938;228038916;;;
09/30/13;14,768;14,904;14,68;14,752;260157632;;;
10/01/13;14,805;15,135;14,803;15,099;353882620;;;
10/02/13;15,027;15,218;14,969;15,148;289183608;;;
10/03/13;15,178;15,235;14,875;14,958;322754012;;;
10/04/13;14,972;14,995;14,809;14,946;258869520;;;
10/07/13;15,056;15,244;15,018;15,092;312292428;;;
10/08/13;15,16;15,182;14,869;14,882;290916024;;;
10/09/13;14,996;15,094;14,799;15,056;301724864;;;
10/10/13;15,203;15,236;15,07;15,151;278601960;;;
10/11/13;15,069;15,281;15,012;15,249;267739752;;;
10/14/13;15,157;15,397;15,142;15,349;261898168;;;
10/15/13;15,394;15,533;15,333;15,431;320074412;;;
10/16/13;15,496;15,55;15,448;15,506;251100052;;;
10/17/13;15,471;15,619;15,462;15,611;253593340;;;
10/18/13;15,657;15,758;15,648;15,747;290542280;;;
10/21/13;15,836;16,223;15,828;16,133;398107780;;;
10/22/13;16,289;16,352;15,72;16,086;534063012;;;
10/23/13;16,059;16,266;16,059;16,244;313724488;;;
10/24/13;16,245;16,476;16,166;16,459;384764380;;;
10/25/13;16,44;16,5;16,248;16,275;337792532;;;
10/28/13;16,37;16,431;16,19;16,396;550440492;;;
10/29/13;16,594;16,686;15,921;15,988;635808460;;;
10/30/13;16,078;16,323;15,998;16,242;354162788;;;
10/31/13;16,245;16,322;16,13;16,174;275695140;;;
11/01/13;16,215;16,239;15,962;16,091;274889216;;;
11/04/13;16,124;16,301;16,054;16,299;244628132;;;
11/05/13;16,232;16,365;16,183;16,259;265472284;;;
11/06/13;16,313;16,336;16,128;16,213;223376608;;;
11/07/13;16,171;16,284;15,947;15,951;262620400;;;
11/08/13;16,016;16,219;15,954;16,202;279318172;;;
11/11/13;16,184;16,236;16,01;16,155;227453212;;;
11/12/13;16,112;16,306;16,091;16,185;204458604;;;
11/13/13;16,122;16,254;16,09;16,204;197219708;;;
11/14/13;16,272;16,473;16,242;16,438;282420348;;;
11/15/13;16,389;16,467;16,324;16,34;317919056;;;
11/18/13;16,34;16,408;16,128;16,142;244944896;;;
11/19/13;16,154;16,289;16,121;16,17;208938828;;;
11/20/13;16,16;16,197;16,008;16,029;194183192;;;
11/21/13;16,11;16,222;15,987;16,22;262027444;;;
11/22/13;16,169;16,252;16,139;16,178;223724928;;;
11/25/13;16,216;16,367;16,215;16,301;229042044;;;
11/26/13;16,313;16,687;16,309;16,601;401382912;;;
11/27/13;16,692;16,994;16,601;16,992;363447364;;;
11/28/13;16,692;16,994;16,601;16,992;363447364;;;
11/29/13;17,102;17,377;17,05;17,307;318128860;;;
12/02/13;17,367;17,564;17,144;17,156;472543540;;;
12/03/13;17,376;17,628;17,357;17,626;450966936;;;
12/04/13;17,6;17,715;17,455;17,585;377810664;;;
12/05/13;17,823;17,9;17,629;17,675;447581260;;;
12/06/13;17,609;17,639;17,416;17,43;344353408;;;
12/09/13;17,477;17,727;17,457;17,629;320494132;;;
12/10/13;17,541;17,674;17,467;17,602;278270440;;;
12/11/13;17,647;17,771;17,42;17,472;359718772;;;
12/12/13;17,496;17,595;17,43;17,446;262289272;;;
12/13/13;17,518;17,519;17,232;17,256;332821132;;;
12/16/13;17,274;17,511;17,274;17,351;282593808;;;
12/17/13;17,299;17,412;17,223;17,273;229902596;;;
12/18/13;17,109;17,163;16,769;17,142;565863228;;;
12/19/13;17,102;17,118;16,923;16,946;320957476;;;
12/20/13;16,976;17,168;16,957;17,087;436413740;;;
12/23/13;17,678;17,763;17,515;17,743;501307324;;;
12/24/13;17,737;17,799;17,617;17,668;167554940;;;
